1	1.52	     3.03     2.02
2	3.03         1.01     6.06
3	7.58        13.13     5.05
4	9.09         9.09     5.05
5	29.80       20.20     7.07
6	50.52       16.16     6.06
7	30.31       21.21    10.10
8	95.98       22.22    28.28
9	121.24      25.25    15.15
10	298.04      29.29    44.44
11	272.78      40.40    35.35
12	722.37      30.30    26.26
13	914.33      43.43    31.31
14	1400        43.43    40.40
15	2550        52.53    46.46
16	3030        49.49    35.35
17	10100       56.57    58.59
18	9090        63.64    65.66
19	15150       68.69    49.49
20	23740       64.65    67.68
21	48490       98.99    62.63
22	60110       72.73    78.79
23	111640      78.79    66.67
24	183880      87.88    77.78
25	293490      85.86    84.85
26	606190      90.91    79.80
27	1210000     97.98    81.82
28	1520000     96.97    90.91
29	2170000    124.24    84.85
30	3740000    130.30    74.75
31	5250000    121.21    78.79
32	9500000    104.04    90.91
33	13490000   146.46    94.95
34	22530000   111.11   118.18
35	46520000   119.19   109.09
36	65670000   120.20    98.99
37	70720000   151.52   101.01
38	141440000  129.29   123.23
39	227320000  153.54   117.17
40	434430000  132.32   135.35
41	676910000  161.62   122.22
42	1120000000 137.37   143.43
43	1720000000 200.00   130.30
44	3120000000 155.56   115.15
45	4600000000 157.58   128.28
45	8660000000 159.60   145.45
